,cool_runtime_stg1
2011-01-01,0.0
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,0.0
2011-01-05,0.0
2011-01-06,0.0
2011-01-07,0.0
2011-01-08,0.0
2011-01-09,0.0
2011-01-10,0.0
2011-01-11,0.0
2011-01-12,0.0
2011-01-13,0.0
2011-01-14,0.0
2011-01-15,0.0
2011-01-16,0.0
2011-01-17,0.0
2011-01-18,0.0
2011-01-19,0.0
2011-01-20,0.0
2011-01-21,0.0
2011-01-22,0.0
2011-01-23,0.0
2011-01-24,0.0
2011-01-25,0.0
2011-01-26,0.0
2011-01-27,0.0
2011-01-28,0.0
2011-01-29,0.0
2011-01-30,0.0
2011-01-31,0.0
2011-02-01,0.0
2011-02-02,0.0
2011-02-03,0.0
2011-02-04,0.0
2011-02-05,0.0
2011-02-06,0.0
2011-02-07,0.0
2011-02-08,0.0
2011-02-09,0.0
2011-02-10,0.0
2011-02-11,0.0
2011-02-12,0.0
2011-02-13,0.0
2011-02-14,0.0
2011-02-15,0.0
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,0.0
2011-02-19,0.0
2011-02-20,0.0
2011-02-21,0.0
2011-02-22,0.0
2011-02-23,0.0
2011-02-24,0.0
2011-02-25,6.0
2011-02-26,0.0
2011-02-27,1.9999999999999991
2011-02-28,4.999999999999999
2011-03-01,0.9999999999999984
2011-03-02,0.0
2011-03-03,0.0
2011-03-04,0.0
2011-03-05,0.0
2011-03-06,0.0
2011-03-07,0.0
2011-03-08,0.0
2011-03-09,0.0
2011-03-10,0.0
2011-03-11,0.0
2011-03-12,0.0
2011-03-13,0.0
2011-03-14,0.0
2011-03-15,0.0
2011-03-16,0.0
2011-03-17,0.0
2011-03-18,3.0
2011-03-19,8.0
2011-03-20,0.0
2011-03-21,6.0
2011-03-22,16.0
2011-03-23,73.0
2011-03-24,12.0
2011-03-25,0.0
2011-03-26,58.99999999999999
2011-03-27,54.0
2011-03-28,0.0
2011-03-29,0.0
2011-03-30,0.0
2011-03-31,0.0
2011-04-01,0.0
2011-04-02,18.0
2011-04-03,40.0
2011-04-04,0.0
2011-04-05,0.0
2011-04-06,0.0
2011-04-07,35.0
2011-04-08,57.0
2011-04-09,71.0
2011-04-10,89.0
2011-04-11,120.0
2011-04-12,0.0
2011-04-13,0.0
2011-04-14,1.9999999999999991
2011-04-15,72.0
2011-04-16,0.0
2011-04-17,0.0
2011-04-18,17.0
2011-04-19,71.0
2011-04-20,124.0
2011-04-21,70.0
2011-04-22,147.0
2011-04-23,135.0
2011-04-24,125.0
2011-04-25,154.0
2011-04-26,143.0
2011-04-27,185.0
2011-04-28,8.0
2011-04-29,0.0
2011-04-30,111.0
2011-05-01,138.0
2011-05-02,163.0
2011-05-03,0.0
2011-05-04,3.9999999999999982
2011-05-05,0.0
2011-05-06,21.0
2011-05-07,6.0
2011-05-08,124.0
2011-05-09,157.0
2011-05-10,211.0
2011-05-11,180.0
2011-05-12,220.0
